lat,long,name
77.88728609710518, 16.64155213569845, Svalbard Svalsat
71.05376379799164, -8.221741352187328, Jan Mayen
64.17389090626551, -51.736677904619114, Nuuk
69.66154999737061, 18.950029843079356, Tromso Norway
70.36999501732367, 31.10868410625704, Vardo Norway
33.37516411727199, 126.53760007345366, Jeju Island
35.68881287168484, 139.65005704851518, Tokyo
25.147924019195287, 55.26127354030721, Dubai
1.3634021359381627, 103.81677938191456, Singapore
-29.19674392614234, 115.43461223941551, Mingenew
-46.51625785478541, 168.39833947223585, Awarua
-20.3109183672722, 57.52352014822144, Mauritius
-25.639287005958312, 28.078559593286723, Hartebeesthoek
12.94732992238547, 77.53902809854684, Bangalore
37.84009737251065, 22.66173707809775, Nemea
38.69262220341948, -4.1197378672019775, Puertollano
27.758246176878753, -15.573118001931254, Maspalomas
38.64067980502694, -28.023020620567454, Azores
68.35196936806123, -133.69013490032313, Inuvik
64.84451934868669, -147.70852819384564, Fairbanks
34.00047022994074, -118.29490820416703, Los Angeles
20.422011337904458, -157.30353124424138, Hawaii
9.103427046177863, -79.56305434238604, Panama
-31.39846291296408, -64.19650623011148, Cordoba
-53.15469953723053, -70.90452874036927, Punta Arenas
-54.508455420387726, -67.20131083162433, Tolhuin
-72.01131112030642, 2.5349964258773396, Troll
